date_time,user_id__customer_name,transactions_id__total_amount,name,quantity,Category,Sale Price,Profit Margin,Cost Price,Profit
2021-03-10 11:40:52.731966+00:00,abbas,47,shan fried shop/steadk msala(62),1,Spices,47.0,0.05,44.65,2.3500000000000014
2021-07-30 21:30:01.209471+00:00,arbab,229,bonus tristar detergent  400 gm (05),1,Powders,51.0,0.05,48.449999999999996,2.5500000000000043
2021-07-30 21:30:01.209471+00:00,arbab,229,colgate slim soft t\brush(05),1,Tooth Brushes,178.0,0.1,160.20000000000002,17.799999999999983
2021-09-28 11:24:21.215017+00:00,riyan,1275,garnier c/natrls  nude m,3,Garnier,425.0,0.1,382.5,42.5
2021-02-25 10:18:02.120341+00:00,zubair,3525,atta (cong),3,Commodity Atta,890.0,0.15,756.5,133.5
2021-02-25 10:18:02.120341+00:00,zubair,3525,atta (cong),3,Commodity Atta,1780.0,0.2,1424.0,356.0
2021-02-25 10:18:02.120341+00:00,zubair,3525,rlx petrolium jelly olive oil 100 ml(55),3,Hair Oil/Color/Gel,285.0,0.1,256.5,28.5
2021-10-16 13:48:45.803323+00:00,maaz,252,utility tomato ketchup 1kg (ob-v),3,Food,84.0,0.05,79.8,4.200000000000003
2021-04-08 13:35:21.855989+00:00,abid,2400,sa ginger 1 kg (lp)(shk),3,Fresh Vegetables,800.0,0.15,680.0,120.0
2021-10-26 12:36:12.794930+00:00,arbab,390,ls cucumber premium 1 kg (lp)(l-s),3,Fresh Vegetables,130.0,0.1,117.0,13.0
2021-04-24 13:17:26.316573+00:00,maaz,88,islamabad green tea hp 80 gm(40),1,Green Tea,88.0,0.05,83.6,4.400000000000006
2021-06-19 11:10:32.764343+00:00,saif,1185,lipton yl blk kpk 400 gm (rmbt) (16),1,Tea,651.0,0.15,553.35,97.64999999999998
2021-06-19 11:10:32.764343+00:00,saif,1185,delhi nihari masala 100 gm (36),3,Spices,178.0,0.1,160.20000000000002,17.799999999999983
2021-07-23 09:44:25.750711+00:00,arbab,319,soya supreme oil 1x5 ltr p/b (for all usc zone except ki),1,Cooking Oil,319.0,0.1,287.1,31.899999999999977
2021-03-22 21:06:44.206682+00:00,sajid,4884,mezan ghee 16 kg bkt,2,Ghee,2380.0,0.2,1904.0,476.0
2021-03-22 21:06:44.206682+00:00,sajid,4884,dettol soap100g(2+1) skin/c,1,Toilet Soaps,124.0,0.1,111.60000000000001,12.399999999999991
2021-05-27 14:49:32.328344+00:00,khan,171,ivy refreshing beauty soap 115 gms(27),1,Toilet Soaps,75.0,0.05,71.25,3.75
2021-05-27 14:49:32.328344+00:00,khan,171,nutty gurr 500 gm,1,Dry Fruits,96.0,0.05,91.19999999999999,4.800000000000011
2021-06-01 19:42:44.250684+00:00,abid,211,dustbin flower s st,1,Dustbin,176.0,0.1,158.4,17.599999999999994
2021-06-01 19:42:44.250684+00:00,abid,211,naswar  6 gm pkt (only for jails)(92),1,All / Non Food /OTC,35.0,0.05,33.25,1.75
2021-06-28 17:31:23.336021+00:00,arbab,1065,kofta kabab 340 gm,3,Frozen Food,250.0,0.1,225.0,25.0
2021-04-03 10:57:46.126542+00:00,qasim,5,sewing machine belt,2,Conf Miscellaneous,2.69,0.05,2.5555,0.13450000000000006
2021-08-13 19:19:16.096408+00:00,riyan,440,shangrilla imli ginger sauce smart pack 400 gm sap(26),2,Ketchup Pickles Sauce Vinegar,220.0,0.1,198.0,22.0
2021-06-18 14:19:10.912363+00:00,sabir,556,nescafe chilled mocha 200 ml pak(57),3,"Beverages (Soft drink, Water, Juices, Syrups etc)",100.0,0.05,95.0,5.0
2021-06-18 14:19:10.912363+00:00,sabir,556,shan chicken white korma 40 gm (62),2,Spices,128.0,0.1,115.2,12.799999999999997
2021-01-06 10:35:40.199574+00:00,khan,4090,andaaz oil 5 ltr tin,3,Cooking Oil,1050.0,0.2,840.0,210.0
2021-01-06 10:35:40.199574+00:00,khan,4090,vigo baby mini new born 26 pcs,2,Baby DIAPERS/Baby Wipes,470.0,0.1,423.0,47.0
2021-10-10 15:12:16.884784+00:00,riyan,1395,h toilet rim 50 gm,3,Detergents Washing Powders,290.0,0.1,261.0,29.0
2021-10-10 15:12:16.884784+00:00,riyan,1395,v/air freshner lavender,3,Spray Perfumes Air Freshener,175.0,0.1,157.5,17.5
2021-10-16 20:39:54.812867+00:00,asfand yar,1040,xtra care baby diaper s size,2,Baby DIAPERS/Baby Wipes,520.0,0.15,442.0,78.0
2021-08-26 12:12:03.635715+00:00,Ali,1658,nestle everyday lite 250 gm(57),3,Milk Powders,495.0,0.1,445.5,49.5
2021-01-01 08:10:37.434006+00:00,yahya,594,aghaz banaspati 1*16 kg (for ki zone),3,Ghee,175.0,0.1,157.5,17.5
2021-01-01 08:10:37.434006+00:00,yahya,594,rave red 400 ml,3,"Beverages (Soft drink, Water, Juices, Syrups etc)",23.0,0.05,21.849999999999998,1.1500000000000021
2021-05-14 20:59:41.572514+00:00,zubair,2820,hand sanitizer safe hand 500 ml,3,Hand wash Hand Sanitizer Face wash,940.0,0.15,799.0,141.0
